INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by region,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
12,1.9,12-1.9,,,,Europe,,Thousands,,,38,46,48,57,73,99,107,140,157,198,228,253,271,268,284,242,219,240,244.7,257.6,289,310.8,375.7,427.1,321.3,71.7,34.4,139.7,
12,1.10,12-1.10,,,,Middle East,,Thousands,,,13,10,9,8,10,13,18,24,23,23,29,37,45,45,54,50,61,40,72.5,80.9,50,41.6,79.8,57.4,50.3,13,6.7,45.3,
12,1.11,12-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
12,1.12,12-1.12,,,,Other not classified,,Thousands,,,422,511,540,571,608,690,705,737,861,865,1002,1159,1232,1215,1256,1415,1493,1652,1768.6,1361.2,627,716.7,742.4,638.4,437.3,81.3,58,640.7,
12,1.13,12-1.13,,,,,"of which, nationals residing abroad",Thousands,,,422,511,540,571,608,690,705,737,861,865,1002,1159,1232,1215,1256,1415,1493,1652,1768.6,1361.2,627,717,742,638,437,81,58,640.7,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.5,16-1.5,,,Total,,,Thousands,,TF,..,..,..,35.4,41.5,43.9,35.9,..,..,..,24.399999999999995,25.3,..,24.273000000000003,23.451,23.067000000000004,22.580000000000002,22.573000000000004,20.8,21.6,20.3,20.1,20,20.200000000000003,..,..,..,..,
16,1.6,16-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,1.7,16-1.7,,,,Americas,,Thousands,,,..,..,..,7,15,8,7.3,..,..,..,6.9,7.2,..,7.638,7.876,8,7.1,6.9,5.4,4.8,4.7,4.6,4.9,4.5,..,..,..,..,
16,1.8,16-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,28,26,35,28.1,..,..,..,16.9,17.6,..,16.148,15.165,14.6,15,15.2,14.9,16.3,15.1,14.9,14.5,15.1,..,..,..,..,
16,1.9,16-1.9,,,,Europe,,Thousands,,,..,..,..,0.4,0.5,0.9,0.5,..,..,..,0.4,0.4,..,0.387,0.41,0.367,0.38,0.373,0.4,0.4,0.4,0.5,0.5,0.5,..,..,..,..,
16,1.10,16-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,1.11,16-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,1.12,16-1.12,,,,Other not classified,,Thousands,,,..,..,..,..,..,..,..,..,..,..,0.2,0.1,..,0.1,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..,..,..,..,
16,1.13,16-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.5,20-1.5,,,Total,,,Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2238,2328,2363,2663.3,2818.9,3002.9,3042,3090,1871.5,1948.8,3555.1,
20,1.6,20-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.7,20-1.7,,,,Americas,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.8,20-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.9,20-1.9,,,,Europe,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2202,2283,2330,2596.8,2741.1,2921.6,2959,3006.4,1832.3,1902,3411.6,
20,1.10,20-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.11,20-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.12,20-1.12,,,,Other not classified,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36,45,33,66.5,77.8,81.3,83,83.6,39.2,46.8,143.5,
20,1.13,20-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.5,24-1.5,,,Total,,,Thousands,,TF,9,21,45,51,45,51,67,91,106,194,209,121,194,294,364,426,481,528,650,595,592.4,397.40000000000003,261,217.9,217.5,63.6,63.800000000000004,129.8,
24,1.6,24-1.6,,,,Africa,,Thousands,,,2,5,14,7,8,8,15,17,31,42,43,19,33,37,46,73,148,173,223,105.5,176,52.7,40.7,34.7,31.3,8.1,11.7,25.2,
24,1.7,24-1.7,,,,Americas,,Thousands,,,1,2,3,8,6,8,9,15,15,34,36,21,38,59,76,83,58,68,74,83.6,105.1,61.7,33.6,37.8,32.7,9.9,8.8,18.8,
24,1.8,24-1.8,,,,East Asia and the Pacific,,Thousands,,,..,1,1,2,2,3,4,5,5,16,15,15,28,59,66,81,88,94,106,65.8,98.1,50.7,40.1,29.2,27.5,3.2,6.6,7.4,
24,1.9,24-1.9,,,,Europe,,Thousands,,,6,13,27,34,29,31,38,52,55,101,110,63,89,130,161,170,170,177,231,326,198,213.1,134.5,105.7,111.9,37.7,30,66,
24,1.10,24-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,1,..,1,3,1,2,3,4,9,3,6,8,6.6,4.9,9.8,5.4,4.3,5.5,1.9,3.5,6.2,
24,1.11,24-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,1,1,1,..,..,2,2,4,6,11,10,14,10,8,7.5,10.3,9.4,6.7,6.2,8.6,2.8,3.2,6.2,
24,1.12,24-1.12,,,,Other not classified,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
24,1.13,24-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
