INDEX,Unnamed: 1,Unnamed: 2,2. DOMESTIC TOURISM: Accommodation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
20,2.21,20-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,2.22,20-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels only.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.19,24-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,90,86,53,94,124,332,397,373,413,496,574,726,376,365,715,741,265,299,719,
24,2.20,24-2.20,,,,Overnights,,Thousands,,..,9,37,7,24,11,11,133,124,87,124,79,118,139,1088,1297,1251,1347,1475,1810,1971,1534,1470,1678,1030,378,554,1488,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.21,24-2.21,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,48,47,36,59,28,96,152,251,281,337,369,264,130,111,264,240,196,216,421,
24,2.22,24-2.22,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,34,78,61,72,54,73,41,451,758,688,734,754,992,870,953,835,707,415,257,359,975,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,2.19,660-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,2.20,660-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,2.21,660-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,2.22,660-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.19,28-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,2.20,28-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.21,28-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,2.22,28-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Household Survey on Travel and Tourism (EVyTH) projected to the total resident population.
2/ Hotel Occupancy Survey (EOH)."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.19,32-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,2.20,32-2.20,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,277046,284238,260403,266614,241051,264333,238463,228299,121155,146627,236708,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
