INDEX,Unnamed: 1,Unnamed: 2,3. OUTBOUND TOURISM: Tourism expenditure in other countries,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
798,3.4,798-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,4.2,3.9,4.3,4.6,4.6,5.43,6.89,8.4,7.5,8.700000000000001,11.450000000000001,11.5,6.8999999999999995,7.5,9.4,11.7,14.9,13.100000000000001,14,10.4,11.5,12.8,
798,3.5,798-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,3.6,3.3,3.5,3.8,4,4.96,5.89,7.2,6.3,7.4,9.65,9.5,4.6,5.1,6.4,8,10,8.8,9.4,7.5,8.6,9.3,
798,3.6,798-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,0.6,0.6,0.8,0.8,0.6,0.47,1,1.2,1.2,1.3,1.8,2,2.3,2.4,3,3.7,4.9,4.3,4.6,2.9,2.9,3.5,
800,0,800-0,UGANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,3.4,800-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,158,185,196,220,315,351,464,540,642,349,342,278,309,365,497,629,269,439,..,
800,3.5,800-3.5,,,Travel,,,US$ Millions,,IMF,80,135,113,95,..,..,..,..,..,108,124,123,132,156,192,320,405,484,208,189,186,208,214,333,450,110,252,..,
800,3.6,800-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,2,2,44,50,61,73,88,159,159,144,135,158,141,153,92,101,151,164,179,159,187,..,
804,0,804-0,UKRAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,3.4,804-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,405,462,487,460,561,676,794,953,2660,3078,3202,4022,4585,3751,4134,4829,5536,6300,5470,5408,6306,7536,8287,8907,4823,6443,19830,
804,3.5,804-3.5,,,Travel,,,US$ Millions,,IMF,210,308,305,340,364,470,566,657,789,2463,2805,2834,3569,4023,3330,3742,4461,5104,5763,5061,5101,5970,7121,7899,8517,4691,6251,19759,
