INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Accommodation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
20,1.31,20-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.32,20-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,6765,5581,5525,5199,4911,4644,4298,3522,3800,4579,4705,4882,4654,5207,5265,5608,5486,5669,3151,2779,6486.3,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels only.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.29,24-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,99,127,83,122,185,454,465,533,569,652,567,545,371,600,782,600,30,83,424,
24,1.30,24-1.30,,,,Overnights,,Thousands,,..,33,89,95,48,77,112,207,217,149,182,231,340,386,1899,2856,1436,1429,1754,1769,1612,1478,1432,1344,904,57,146,721,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.31,24-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,92,120,64,91,126,288,319,401,422,481,409,400,264,339,428,339,20,67,275,
24,1.32,24-1.32,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,183,212,143,176,199,292,260,1054,2544,1155,1119,1372,1230,1198,946,846,564,478,40,120,482,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.29,660-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.30,660-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.31,660-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.32,660-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air. Excluding nationals residing abroad.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.29,28-1.29,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,301,125.1,169,265,
28,1.30,28-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.31,28-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,185,179,182,188,196,177,178,189,..,199,..,..,216,..,219,242,106,151,222,
28,1.32,28-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotel Occupancy Survey (EOH).
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.29,32-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,1.30,32-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.31,32-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,4065,..,4712,4523,3876,4800,4813,4311,4089,4292,3825,3843,4081,4280,4799,1186,221,2684,
32,1.32,32-1.32,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,9482,9782,10905,10573,8955,11537,11170,10111,9737,10299,9067,8900,9496,9921,10916,2659,508,6391,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.29,51-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,1.30,51-1.30,,,,Overnights,,Thousands,,78,89,116,..,..,151,200,202,343,385,420,840,1780,2500,4025,6830,7580,9632,10842,11500,10073,12597,14947,16517,18943,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.31,51-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,1.32,51-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2322,..,..,..,..,..,..,..,..,..,..,..,..,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.29,533-1.29,,,,Guests,,Thousands,1/,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,1072,1225,1102,1070.5,1082,1119,358,807,1101,
533,1.30,533-1.30,,,,Overnights,,Thousands,,4473,4714,4843,4890,5142,5248,5145,4863,5098,5640,5695,5471,5879,6268,6173,6466,6686,6907,7127,7693,8330,7976,7967,8070,8248,2896,6009,7992,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.31,533-1.31,,,,Guests,,Thousands,1/,515,514,574,572,592,629,611,567,568,647,653,619,688,728,719,728,736,764,797,815,816,815,848,853,875,279,627,..,
533,1.32,533-1.32,,,,Overnights,,Thousands,,3726,3824,3879,3959,3998,4249,4177,3945,4059,4615,4735,4515,4904,5170,5139,5273,5255,5433,5504,5614,5670,5688,5907,5961,5945,2035,4344,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Tourism Research Australia - International Visitors Survey. Annual estimates - International visitors aged 15 years and over. Excluding private accommodation.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.29,36-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,3900,3703,3874,3725,3821,4011,4223,4484,5080,5389,5554,5574,1068,185,1606,
36,1.30,36-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,41678,41001,40006,39232,41093,41884,42112,42965,45612,47160,46178,46417,11964,12033,15387,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.31,36-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,3008,2800,2964,2875,2966,3130,3357,3605,4099,4341,4503,4515,827,183,1324,
36,1.32,36-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,23509,22172,22649,22193,22548,22779,24612,26354,29265,29985,30299,30087,8219,11996,10345,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Only paid accommodation; excluding stays at friends and relatives and second homes.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.29,40-1.29,,,,Guests,,Thousands,1/,17173,17090,16647,17352,17467,17982,18180,18611,19078,19374,19952,20269,20773,21935,21355,22004,23012,24151,24813,25291,26728,28121,29460,30816,31884,15091,12728,26215,
40,1.30,40-1.30,,,,Overnights,,Thousands,1/,86991,84217,80593,81867,82424,82534,83669,85792,86348,85922,87741,87274,88443,92840,89864,89857,90706,95052,96874,96233,98824,102863,105977,110430,112765,66280,49964,98031,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.31,40-1.31,,,,Guests,,Thousands,2/,12464,12533,12329,12804,12755,13240,13279,13487,13748,14076,14542,14951,15348,16091,15520,16170,16972,17728,18164,18588,19633,20434,21338,22026,22662,9570,8392,17592,
40,1.32,40-1.32,,,,Overnights,,Thousands,2/,56198,55126,53396,53507,53123,53617,54086,55167,55200,55163,56690,57133,57882,60469,57798,58315,59147,61360,62137,61830,63355,65244,66642,68331,69375,36389,28397,57283,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.29,31-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2389,2569,..,..,964,
31,1.30,31-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11476,11853,..,..,4331,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.31,31-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,69,61,78,99,130,151,153,224,209,212,258,372,395,393,496,777,981,1234,1317,267,272,908,
31,1.32,31-1.32,,,,Overnights,,Thousands,,..,..,67,143,..,..,161,233,287,515,540,557,573,637,561,568,674,803,822,803,959,1406,1704,2050,2241,417,414,1394,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels only.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.29,44-1.29,,,,Guests,,Thousands,,..,..,..,..,..,1544,1538,1513,1505,1561,1625,1613,1538,1469,1336,1378,1355,1431,1377,1444,1496,1499,1452,1633,1807,441,892,1452,
44,1.30,44-1.30,,,,Overnights,,Thousands,,9031,9466,9637,..,..,9048,8973,8704,8927,9888,10340,10308,10091,9724,9080,9183,9169,9684,9409,9643,10003,10135,10193,10857,11315,3133,5949,8855,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.31,44-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,1165,1154,1113,1226,1322,1395,1357,1285,1237,1127,1186,1163,1230,1174,1237,1273,1269,1250,1418,1589,387,776,1279,
44,1.32,44-1.32,,,,Overnights,,Thousands,,6405,..,..,..,..,5124,5034,4953,7282,8106,8527,8359,8099,7843,7304,7500,7493,7952,7688,7946,8241,8260,8435,9108,9605,2646,5038,7605,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Classified hotels only.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.29,48-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3964,3990,4372,4366.7,3849,827,2182,3712,
48,1.30,48-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8966,10987,12344,12795,13177,2938,8086,13034,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.31,48-1.31,,,,Guests,,Thousands,,408,529,759,547,569,758,787,686,695,1132,1237,1285,1320,1154,1003,995,821,1014,1069,1431,2905,3077,3893,4009,3502,833,1252,1931,
48,1.32,48-1.32,,,,Overnights,,Thousands,1/,915,1123,1563,1287,1263,1764,1571,1386,1290,2290,2224,2477,2494,2368,1964,1899,1550,1835,1990,2103,6682,8616,10898,10916,11158,2035,3842,4283,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.29,50-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.30,50-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.31,50-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.32,50-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.29,52-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,1.30,52-1.30,,,,Overnights,,Thousands,,2488,2603,2434,2303,2460,2695,2460,2031,2459,2463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.31,52-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,1.32,52-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2015 without taking into account the Belarusian-Russian border segment. Data from 2016 including estimation of the Belarusian-Russian border segment.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.29,112-1.29,,,,Guests,,Thousands,1/,..,..,..,363,315,262,221,209,229,239,253,292,368,477,512,677,783,993,1003,1080,966,1929,2000,2142,2201,577,787,1492,
112,1.30,112-1.30,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3525,4306,4279,4615,3794,9035,8755,9607,9537,3182,5226,6233,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.31,112-1.31,,,,Guests,,Thousands,,..,..,..,361,313,260,219,208,226,236,246,272,304,372,384,505,594,728,740,741,688,813,918,1037,1116,320,402,797,
112,1.32,112-1.32,,,,Overnights,,Thousands,,..,..,..,793,721,630,517,496,538,575,597,688,791,1001,1042,1226,1310,1610,1612,1704,1585,1737,2022,2180,2398,772,1102,1677,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Due to a change in the methodology, from 2015 the data are not comparable with those of previous years.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.29,56-1.29,,,,Guests,,Thousands,1/,5560,5829,6037,6179,6369,6457,6452,6720,6690,6710,6747,6995,7045,7165,6815,7186,7494,7560,7684,7887,8355,7481,8385,9119,9343,2584,3243,8220,
56,1.30,56-1.30,,,,Overnights,,Thousands,1/,13878,14441,14762,14838,15366,15526,15373,15895,15929,15545,15553,16040,16271,16361,15453,16170,16724,16433,16512,17069,18852,17063,18657,20565,21205,6547,7851,19378,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.31,56-1.31,,,,Guests,,Thousands,2/,4138,4469,4710,4859,4983,5163,5117,5323,5261,5385,5409,5665,5713,5820,5452,5772,6077,6146,6228,6389,6440,5557,6313,6700,6800,1804,2313,5728,
56,1.32,56-1.32,,,,Overnights,,Thousands,2/,7895,8695,9267,9483,9749,10184,10011,10410,10280,10315,10297,10634,10976,11120,10337,10854,11436,11546,11624,12082,12035,10215,11632,12424,12669,3480,4341,10916,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Room nights.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.29,84-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,1.30,84-1.30,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,622,693,774,824,808,181,786,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.31,84-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,1.32,84-1.32,,,,Overnights,,Thousands,,446,416,455,432,487,517,533,536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.29,204-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,1.30,204-1.30,,,,Overnights,,Thousands,,314,362,445,525,212,200,190,144,219,215,348,321,412,547,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.31,204-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,1.32,204-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,910,999,1059,1212,1372,1336,1403,1473,1547,1624,1705,1791,..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.29,60-1.29,,,,Guests,,Thousands,,387,390,380,370,355,332,278,284,257,272,270,299,306,264,236,232,236,232,236,224,220,244,270,282,269,42.1,72,146,
60,1.30,60-1.30,,,,Overnights,,Thousands,,2421,2365,2283,2274,2145,1966,1775,1822,1598,1733,1729,1931,1898,1679,1437,1442,1429,1414,..,1307,1399,1499,1687,1651,1607,418,641,1006,
