INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by main purpose,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
660,1.14,660-1.14,,,Total,,,Thousands,1/,VF,107.1,86.3,113.9,113.8,106.8,112.39999999999999,105,111.10000000000001,109.25999999999999,120.8,143.20000000000002,167.20000000000002,164,127.9,112.1,118.4,123.6,129.4,151.3,176.7,186,176,151,87.3,166.3,41.099999999999994,28.7,95.8,
660,1.15,660-1.15,,,,Personal,,Thousands,,,104.8,84.2,111.2,111,103.7,109.3,101.1,107.4,105.46,117.2,138.3,160.4,155.6,122.2,108.5,114.5,120.6,126.6,148.4,173.6,182,171,148,84.2,163,40.3,28,94.2,
660,1.18,660-1.18,,,,Business and professional,,Thousands,,,2.3,2.1,2.7,2.8,3.1,3.1,3.9,3.7,3.8,3.6,4.9,6.8,8.4,5.7,3.6,3.9,3,2.8,2.9,3.1,4,5,3,3.1,3.3,0.8,0.7,1.6,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air. Excluding nationals residing abroad.
28,1.14,28-1.14,,,Total,,,Thousands,1/,TF,191,202,211,204,..,..,..,..,..,246,245,254,262,266,234,230,241,..,..,249.2,250,265.2,247.3,269,301,125,169.4,265.1,
28,1.15,28-1.15,,,,Personal,,Thousands,,,186,199,209,202,..,..,..,..,..,234,231,240,251,258,228,225,234,..,..,240.39999999999998,241,258.09999999999997,240,258.4,285.7,118.6,163.4,253.9,
28,1.18,28-1.18,,,,Business and professional,,Thousands,,,5,3,2,2,..,..,..,..,..,12,14,14,11,8,6,5,7,..,..,8.8,9,7.1,7.3,10.6,15.3,6.4,6,11.2,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ International Tourism Survey (ETI). Data corresponding to the Airports of Ezeiza and Aeroparque, Córdoba Airport (added as of 2010) and Mendoza Airport (added in 2018)."
32,1.14,32-1.14,,,Total,,,Thousands,1/,TF,..,..,..,..,..,..,..,..,..,1579.6909999999998,1870.39,2142.402,2374.19,2401.273,2082.5989999999997,2697.43,2751.639,2623.325,2433.216,2521.3469999999998,2352.029,2314.6710000000003,2432.37,2679.605,2920,634,174.89999999999998,1659,
32,1.15,32-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,..,1197.2359999999999,1482.1180000000002,1780.521,1922.783,1966.2060000000001,1694.3229999999999,2203.459,2243.116,2172.98,1956.781,2010.1419999999998,1826.766,1837.371,1872.651,2017.409,2332,560,153.7,1446,
32,1.18,32-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,..,382.455,388.272,361.881,451.407,435.067,388.276,493.971,508.523,450.345,476.435,511.205,525.263,477.3,559.719,662.196,588,74,21.2,213,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.14,51-1.14,,,Total,,,Thousands,,TF,12,13,23,32,41,45,124,162,206,263,318,382,511,558,575,683,758,963,1084,1204,1192,1259.6,1494.8,1651.8000000000002,1894.4,375.2,870.3,1665.6000000000001,
51,1.15,51-1.15,,,,Personal,,Thousands,,,10,11,20,27,33,41,99,131,167,217,251,268,336,369,378,453,523,631,672,776,770,857.8,1137.5,1200.9,1593.4,318.9,716.3,1105.9,
51,1.18,51-1.18,,,,Business and professional,,Thousands,,,2,2,3,5,8,4,25,31,39,46,67,114,175,189,197,230,235,332,412,428,422,401.8,357.3,450.9,301,56.3,154,559.7,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air.
533,1.14,533-1.14,,,Total,,,Thousands,1/,TF,619,640,646,647,683,721,691,643,642,728,733,694,772,827,..,824,869,904,979,1072,1225,1102,1070.5,1081.9,1118.9,368.3,806.6999999999999,..,
533,1.15,533-1.15,,,,Personal,,Thousands,,,604,623,610,609,643,681,651,612,609,695,699,660,737,799,..,800,816,856,924,1015,1162.2,1042,1008.7,1022.5,1070.9,348.90000000000003,772.4,..,
533,1.18,533-1.18,,,,Business and professional,,Thousands,,,15,17,36,38,40,40,40,31,33,33,34,34,35,28,..,24,53,48,55,57,62.8,60,61.8,59.4,48,19.4,34.3,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,1/,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad and crew members.
36,1.14,36-1.14,,,Total,,,Thousands,,,3726,4163,4318,4168,4459,4931,4856,4841,4747,5215,5499,5533,5645,5586,5490,5791,5771,6032,6481.699999999999,6921.799999999999,7449.3,8268.8,8815.3,9245.6,9465.8,1827.6999999999998,246.3,3694.4,
36,1.15,36-1.15,,,,Personal,,Thousands,,,3156,3504,3626,3501,3714,4080,4019,3968,3847,4216,4395,4315,4336,4247,4271,4431,4351,4577,5038.299999999999,5435.4,5869.6,6670.3,7071.7,7440.1,7624.299999999999,1421.8,192.3,2957.3,
36,1.18,36-1.18,,,,Business and professional,,Thousands,,,570,659,692,667,745,851,837,873,900,999,1104,1218,1309,1339,1219,1360,1420,1455,1443.4,1486.4,1579.7,1598.5,1743.6,1805.5,1841.5,405.9,54,737.1,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.14,40-1.14,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
40,1.15,40-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
40,1.18,40-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
