INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by mode of transport,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
24,1.20,24-1.20,,,,Air,,Thousands,,,9,20,44,51,43,48,58,61,83,144,153,120,172,294,366,425,481,528,650,595,592,397,261,218,218,64,64,130,
24,1.21,24-1.21,,,,Water,,Thousands,,,..,..,..,1,..,..,1,3,3,4,5,..,18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
24,1.22,24-1.22,,,,Land,,Thousands,,,..,1,1,..,2,2,8,27,21,46,52,1,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
660,1.19,660-1.19,,,Total,,,Thousands,1/,VF,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,150.6,87.4,166.39999999999998,41.1,28.7,95.69999999999999,
660,1.20,660-1.20,,,,Air,,Thousands,,,29,28,33,29,29,28,32,30,28,24,32,33,35,27,17,17,18,15,15,14,13,13.1,13.1,13.4,16.7,5.2,7.8,28.1,
660,1.21,660-1.21,,,,Water,,Thousands,,,78,58,81,85,78,84,73,81,81,97,111,134,129,101,95,101,106,114,136,163,173,162.9,137.5,74,149.7,35.9,20.9,67.6,
660,1.22,660-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding nationals residing abroad.
2/ Cruise passengers only."
28,1.19,28-1.19,,,Total,,,Thousands,,VF,418,472,497,540,536,634,602,508,608,769,712,838,935,863,944,788,847.5,819,777,771,894,874,1040.3,1064,1035,275.9,250,642,
28,1.20,28-1.20,,,,Air,,Thousands,1/,,191,202,211,204,208,207,193,198,224,246,245,254,262,266,234,230,241,247,243,249,250,265,247.3,269,301,125.1,169.4,265,
28,1.21,28-1.21,,,,Water,,Thousands,2/,,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,606.5,572,534,522,644,609,793,795,734,150.8,80.6,377,
28,1.22,28-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.
32,1.19,32-1.19,,,Total,,,Thousands,1/,TF,..,..,..,..,..,2909,2620,2820,2996,3457,3823,4173,4562,4700,4307,6799.700000000001,6703,6497.2,6510.4,7165.4,6815.8,6668.3,6711.3,6941.8,7399,2089.5,297.4,3889.8,
32,1.20,32-1.20,,,,Air,,Thousands,,,..,..,..,..,..,1192,998,928,1227,1666,2069,2279,2566,2586,2220,2865.4,2884.8,2763.9,2530,2609,2425.9,2390,2567,2760,3065.2,694.3,211.1,1691.1,
32,1.21,32-1.21,,,,Water,,Thousands,,,..,..,..,..,..,389,300,275,339,274,318,391,453,492,457,1031.4,1012.2,973.6,1047.6,997.3,1003.1,1018.9,1032.5,1036.8,1094.7,358,28.3,566.4,
32,1.22,32-1.22,,,,Land,,Thousands,,,..,..,..,..,..,1328,1322,1617,1430,1517,1436,1503,1543,1622,1630,2902.9,2806,2759.7,2932.8,3559.1,3386.8,3259.4,3111.8,3145,3239.1,1037.2,58,1632.3,
