INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Tourism expenditure in the country,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
28,1.34,28-1.34,,,Travel,,,US$ Millions,,IMF,247,258,278,282,290,291,272,274,300,337,309,327,338,334,305,298,312,319,299,708,710,753,737,776,904,412,539,773,
28,1.35,28-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95,92,91,83,79,90,18,17,45,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.33,32-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,2550,2975,3153,3353,3175,3195,2756,1716,2306,2660,3209,3926,5030,5273,4455,5605,6058,5665,5199,5645,5441,5466,5830,5999,5654,1793.47,433,3694,"1/  Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
32,1.34,32-1.34,,,Travel,,,US$ Millions,1/,IMF,2222,2621,2778,3025,2898,2904,2642,1535,2006,2235,2729,3351,4325,4664,3989,4989,5431,5014,4525,4960,4927,4967,5370,5563,5241,1727.47,394,3474,
32,1.35,32-1.35,,,Passenger transport,,,US$ Millions,,IMF,328,354,375,328,277,291,114,181,300,425,480,575,705,609,466,616,627,651,674,685,514,499,460,436,413,66,39,220,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.33,51-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,14,18,33,41,47,52,81,81,90,189,243,406,522,564,570,694,762,853,905,994,956,1037,1224,1358,1553,297,813,2513.1,
51,1.34,51-1.34,,,Travel,,,US$ Millions,,IMF,1,12,20,24,31,38,65,63,73,172,223,370,484,518,530,646,722,817,880,966,936,1017,1204,1329,1528,287,784,2439.1,
51,1.35,51-1.35,,,Passenger transport,,,US$ Millions,,IMF,13,6,13,17,16,14,16,18,17,17,20,36,38,46,40,48,40,36,25,28,20,20,20,29,25,10,29,74,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.33,533-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,554,666,726,786,782,850,825,835,858.1,1057,1097,1064.1,1213.4,1352,1223,1254,1358,1412,1506,1625,1659,1757,1855,2035,2109,1079,1788,2305,
533,1.34,533-1.34,,,Travel,,,US$ Millions,,IMF,521,620,689,741,729,814,822,834,858,1057,1097,1064,1213,1351,1222,1251,1351,1402,1495,1605,1650,1757,1855,2033,2104,1078,1785,2303,
533,1.35,533-1.35,,,Passenger transport,,,US$ Millions,,IMF,33,46,37,45,53,36,3,1,0.1,..,..,0.1,0.4,1,1,3,7,10,11,20,9,..,..,2,5,1,3,2,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.33,36-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,10370,11882,11735,10169,11408,11594,11333,12148,14981,18032,19719,20408,25024,27189,26909,31064,34315,34137,35159,37996,36249,39059,43990,47327,47953,26235,17132,24214,
36,1.34,36-1.34,,,Travel,,,US$ Millions,,IMF,8130,9519,9456,8130,9258,9375,9222,10044,12620,15212,16750,17538,21774,23986,24566,28472,31582,31557,32887,35829,34269,37019,41762,45098,45729,25666,17062,23199,
36,1.35,36-1.35,,,Passenger transport,,,US$ Millions,,IMF,2240,2363,2279,2039,2150,2219,2111,2104,2361,2820,2969,2870,3250,3203,2343,2592,2733,2580,2272,2167,1980,2040,2228,2229,2224,569,70,1015,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
