INDEX,Unnamed: 1,Unnamed: 2,5. EMPLOYMENT: Number of employees by tourism industries,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
12,5.5,12-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
12,5.6,12-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
12,5.7,12-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5.1,16-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,5.2,16-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,5.3,16-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,5.4,16-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,5.5,16-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,5.6,16-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,5.7,16-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.1,20-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,5.2,20-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,5.3,20-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,5.4,20-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,5.5,20-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,5.6,20-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,5.7,20-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5.1,24-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,72.149,102.726,134.641,138.867,145.564,157.95399999999998,173.478,202.766,219.3,221,223,354.9,215.5,181,183,192,
24,5.2,24-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,33.462,46.242,70.41,72.594,72.084,78.7,84.141,88.979,92.3,93,94,161,107.2,102,90,92,
24,5.3,24-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
24,5.4,24-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,35.732,48.555,54.313,55.927,61.292,65.719,74.844,98.476,104,105,106,169,55.4,76,91,96,
24,5.5,24-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
24,5.6,24-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,2.955,7.929,9.918,10.346,12.188,13.535,14.493,15.311,23,23,23,24.9,52.9,3,2,4,
24,5.7,24-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,5.1,660-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,5.2,660-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,5.3,660-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,5.4,660-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,5.5,660-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,5.6,660-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,5.7,660-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5.1,28-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,5.2,28-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,5.3,28-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,5.4,28-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,5.5,28-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,5.6,28-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,5.7,28-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5.1,32-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,994.5999999999999,989.9,1002.5,1061.7,1013.8999999999999,..,1246.2044954926114,1273.878514353079,1271.157467919712,1259.6209056361317,..,..,..,
32,5.2,32-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.9,90.3,95.5,82.5,79.6,..,89.04982074304836,88.9945105422707,88.47708224837089,92.2066770248318,..,..,..,
32,5.3,32-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,5.4,32-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,460.7,452.7,461.4,495.1,475.8,..,485.4625953222932,505.3788183446574,518.0782031435499,509.42107314489687,..,..,..,
32,5.5,32-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209.7,210.9,217.6,233,217.7,..,204.98663973523637,206.82929067736583,195.68768681758343,185.64334914128102,..,..,..,
32,5.6,32-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.518370706189334,30.484614604998942,31.127651443136187,29.909372589544095,..,..,..,
32,5.7,32-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,227.3,236,228,251.1,240.8,..,437.187068985844,442.1912801837862,437.78684426707156,442.440433735578,..,..,..,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5.1,51-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,5.2,51-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,5.3,51-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,5.4,51-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,5.5,51-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,5.6,51-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,5.7,51-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,5.1,533-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,5.2,533-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,5.3,533-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,5.4,533-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,5.5,533-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,5.6,533-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,5.7,533-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,1/ 2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 2010: change in the series.
2/ Source: Cat. 5249.0 - Australian National Accounts: Tourism Satellite Account, Table 18 and table 19 Direct Tourism filled jobs by Industry. As of June 30. The series should now be titled: ""Number of Filled Jobs in Section % of the Table as  Tourism Industries"" as Tourism Satellite Accounts now report on Tourism Filled jobs rather than employed persons so the series have been revised reflect the new measure which is different to what was reported in the past."
36,5.1,36-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,521.8,517.1,527.3,528.7,531.1000000000001,546.3,553.1000000000001,564.9,586.2,589.7000000000002,611.7,636.5,649.6000000000001,689.6000000000001,701.1000000000001,603.8,412.6,501.40000000000003,
36,5.2,36-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,93.6,83.5,86.8,85.9,82,85.4,87.7,92,95,92.7,89.2,92.9,91.7,91.9,85.3,88.2,54.4,72.8,
36,5.3,36-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
36,5.4,36-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,168.5,168.10000000000002,173.10000000000002,172.4,180.5,189.5,186.1,192,204.2,203.6,221.89999999999998,235.7,241.9,265.5,269.1,230.7,189.4,214.6,
36,5.5,36-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,43.5,45.5,43.5,44.4,43.800000000000004,44.099999999999994,44.1,45.8,48.7,47.6,46.9,48.400000000000006,49,51.5,54.3,50.2,33.6,39.6,
36,5.6,36-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,26.2,27.1,29.2,30.7,28,29.4,32.4,34.2,36,36.1,35.1,34.7,33.2,35.4,35.3,28.7,21.5,30.7,
36,5.7,36-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,190,192.89999999999998,194.69999999999993,195.3,196.80000000000007,197.89999999999992,202.80000000000007,200.89999999999998,202.30000000000007,209.7000000000001,218.60000000000002,224.8,233.80000000000007,245.30000000000013,257.1,206,113.69999999999999,143.70000000000005,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Tourism Satellite Account (TSA) data.
40,5.1,40-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,206.39999999999998,206.4,207.70000000000002,..,214.6,245.20000000000002,243.3,252.9,253.99999999999997,262,270.49999999999994,..,..,..,..,199.6,205.9,128.6,107.79999999999998,..,
40,5.2,40-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,57.9,58.4,59.1,..,60.5,61.2,56.6,58.7,58.4,61.6,63.8,..,..,..,..,130.6,134.7,94.8,79.6,..,
40,5.3,40-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
40,5.4,40-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,71.8,74.1,76.7,..,79.6,88.7,82.9,87.1,88.3,95.3,99.1,..,..,..,..,..,..,..,..,..,
40,5.5,40-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,38.4,35,29,..,31.6,47.1,53.8,52.8,54.7,53.4,54.1,..,..,..,..,34.6,35.8,11.7,9,..,
40,5.6,40-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,26.2,26.5,29.4,..,29.9,30.3,30.5,30.2,30.6,31.6,32.8,..,..,..,..,11.5,11.9,9.9,8.1,..,
40,5.7,40-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,12.1,12.4,13.5,..,13,17.9,19.5,24.1,22,20.1,20.7,..,..,..,..,22.9,23.5,12.2,11.1,..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5.1,31-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,4.7379999999999995,5.117,5.854,6.789999999999999,7.33,36.839,37.638999999999996,38.851,40.788,41.8,49.449000000000005,43.477,46.836999999999996,53.574,59.5,48.964,53.7,63.07,
31,5.2,31-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,4.092,4.338,4.739,5.616,5.937,6.021,6.198,7.321,8.259,9,8.364,9.838,10.015,11.4,12.5,10.7,11.1,12.3,
31,5.3,31-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,5.4,31-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,5.5,31-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,5.6,31-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,0.646,0.779,1.115,1.174,1.393,1.418,1.541,1.73,1.729,1.8,1.586,1.838,1.891,2.074,2.2,1.464,1,1.27,
31,5.7,31-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.4,29.9,29.8,30.8,31,39.499,31.801,34.931,40.1,44.8,36.8,41.6,49.5,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5.1,44-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,5.2,44-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,5.3,44-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,5.4,44-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,5.5,44-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,5.6,44-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,5.7,44-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5.1,48-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,19,21,23,20,64,73,76,68,71,103,
48,5.2,48-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,13,14,15,15,12,15,14,8,10,14,
48,5.3,48-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
48,5.4,48-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,3,2,40,47,51,45,46,76,
48,5.5,48-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,..,4,4,5,4,7,4,
